username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;flag
;31/12/18 06.58;0;0;Info # BMKG : GEMPABUMI TEKTONIK M=5,1 MENGGUNCANG KABUPATEN HALMAHERA BARAT, TIDAK BERPOTENSI TSUNAMI* Hari Senin, 31 Desember 2018, pukul 01.34.58 WIB, wilayah laut di sebelah barat… https://www.instagram.com/p/BsB-CJ5g-fi/?utm_source=ig_twitter_share&igshid=1unwn3n3bziya …;;;#;1,07953E+18;https://twitter.com/bpbdkabpolman/status/1079527294375546882;1
;31/12/18 06.41;0;1;Bila ayah kau kejutkan kau bngun tidur zap terus kau bangun siap boleh jwb soalan time mak kau kejut, 50 kali goyang bdn plus gempa bumi pun kau x sedar;;;;1,07952E+18;https://twitter.com/_icesyaha/status/1079522926213263360;0
;31/12/18 06.36;28;31;# JabatanPeneranganTerengganu # BeautifulTerengganu # SayangiMalaysiaku Gempa bumi 5.7 magnitud gegar Bengkulu, Indonesia http://www.astroawani.com/berita-dunia/gempa-bumi-5-7-magnitud-gegar-bengkulu-indonesia-194768 … pic.twitter.com/A38pTDWWIB https://twitter.com/501Awani/status/1079520574089572352 …;;;# # #;1,07952E+18;https://twitter.com/JapenTerengganu/status/1079521720917086208;1
;31/12/18 06.32;85;70;# ICYMI # AWANInews # FajarAWANI Gempa bumi 5.7 magnitud gegar Bengkulu, Indonesia http://www.astroawani.com/berita-dunia/gempa-bumi-5-7-magnitud-gegar-bengkulu-indonesia-194768 …pic.twitter.com/ADBfHXjvSA;;;# # #;1,07952E+18;https://twitter.com/501Awani/status/1079520574089572352;1
;31/12/18 06.30;0;0;December 31, 2018 at 07:30AM (Sekolahku, apa kabar kau usai diguncang gempa bumi? Begitulah kiranya tanya dalam benak anak-anak penyintas gempa bumi Lombok dan Palu yang sudah rindu ingin segera bersekolah.... https://www.facebook.com/1911854019051266/posts/2263093003927364/ …;;;;1,07952E+18;https://twitter.com/andri000me_1/status/1079520070160826368;0
;31/12/18 06.18;3;9;Hingga pukul 01.57 WIB, hasil monitoring BMKG belum menunjukkan adanya aktivitas gempa bumi susulan (aftershock). http://dlvr.it/Qvg8kM;;;;1,07952E+18;https://twitter.com/kompascom/status/1079517015184818176;1
;31/12/18 06.06;0;0;Gempa bumi 5.7 magnitud gegar Bengkulu, Indonesia http://www.astroawani.com/berita-dunia/gempa-bumi-5-7-magnitud-gegar-bengkulu-indonesia-194768 …;;;;1,07951E+18;https://twitter.com/mohdakilaz/status/1079514112856678400;1
;31/12/18 05.53;0;0;Netizen itu kebanyakkan hobinya membully dan merasa manjadi makhluk paling sempurna. Gempa Bumi itu ibarat ajal, tidak ada yang tahu kapan datangnya. Kalau loe pada takut mati netizen nyinyir, jangan loe berbuat maksiat, supaya gempanya tidak datang.;;;;1,07951E+18;https://twitter.com/pertama27/status/1079510739725893632;0
;31/12/18 05.52;0;0;Gempa bumi 5.7 magnitud gegar Bengkulu, Indonesia - https://www.apakes.com/gempa-bumi-5-7-magnitud-gegar-bengkulu-indonesia/ …;;;;1,07951E+18;https://twitter.com/ezzatimahussain/status/1079510476885839874;1
;31/12/18 05.47;0;0;Gempa bumi berkekuatan 5,1 skala richter mengguncang sebagian besar wilayah Sulawesi Utara(Sulut), Senin (31/12/2018), pukul 02:34:55 Wita. Menurut Badan Meteorologi Klimatologi dan… https://www.instagram.com/p/BsB11UKhjbC/?utm_source=ig_twitter_share&igshid=5008dnxei0nd …;;;;1,07951E+18;https://twitter.com/soal_manado/status/1079509273976193029;1
